"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008R",2008,"R","McCAIN","Joplin Globe","Newspaper",,,,"02/02/08",,,,,TRUE,"Joplin Globe (02/02/08)"
"2008R",2008,"R","McCAIN","Kansas City Star","Newspaper",,,,"01/19/08",,,,,TRUE,"Kansas City Star (01/19/08)"
"2008R",2008,"R","McCAIN","St. Louis Post-Dispatch","Newspaper",,,,"01/27/08",,,,,TRUE,"St. Louis Post-Dispatch (01/27/08)"
"2008D",2008,"D","CLINTON","The Jersey Journal","Newspaper",,,,"01/28/08",,,,,TRUE,"The Jersey Journal (01/28/08)"
"2008D",2008,"D","CLINTON","Recorder Community Newspapers","Newspaper - Weekly",,,,"01/22/08",,,,,TRUE,"Recorder Community Newspapers (01/22/08)"
"2008D",2008,"D","OBAMA","The Star-Ledger","Newspaper",,,,"02/03/08",,,,,TRUE,"The Star-Ledger (02/03/08)"
"2008D",2008,"D","OBAMA","Trenton Times","Newspaper",,,,"01/27/08",,,,,TRUE,"Trenton Times (01/27/08)"
"2008R",2008,"R","McCAIN","The Star-Ledger","Newspaper",,,,"02/03/08",,,,,TRUE,"The Star-Ledger (02/03/08)"
"2008R",2008,"R","McCAIN","Trenton Times","Newspaper",,,,"01/28/08",,,,,TRUE,"Trenton Times (01/28/08)"
"2008R",2008,"R","McCAIN","Recorder Community Newspapers","Newspaper - Weekly",,,,"01/22/08",,,,,TRUE,"Recorder Community Newspapers (01/22/08)"
"2008D",2008,"D","OBAMA","Albuquerque Journal","Newspaper",,,,"02/03/08",,,,,TRUE,"Albuquerque Journal (02/03/08)"
"2008D",2008,"D","OBAMA","Albuquerque Tribune","Newspaper",,,,"02/02/08",,,,,TRUE,"Albuquerque Tribune (02/02/08)"
"2008D",2008,"D","OBAMA","Santa Fe New Mexican","Newspaper",,,,"01/31/08",,,,,TRUE,"Santa Fe New Mexican (01/31/08)"
"2008D",2008,"D","OBAMA","Hobbs News-Sun","Newspaper",,,,,,,,,TRUE,"Hobbs News-Sun"
"2008D",2008,"D","OBAMA","Los Alamos Monitor","Newspaper",,,,,,,,,TRUE,"Los Alamos Monitor"
"2008D",2008,"D","OBAMA","Santa Fe Reporter","Newspaper",,,,"01/30/08",,,,,TRUE,"Santa Fe Reporter (01/30/08)"
"2008D",2008,"D","CLINTON","New York Times","Newspaper",,,,"01/25/08",,,,,TRUE,"New York Times (01/25/08)"
"2008D",2008,"D","CLINTON","Newsday","Newspaper",,,,"02/02/08",,,,,TRUE,"Newsday (02/02/08)"
"2008D",2008,"D","CLINTON","Albany Times Union","Newspaper",,,,"01/27/08",,,,,TRUE,"Albany Times Union (01/27/08)"
"2008D",2008,"D","CLINTON","Amsterdam News","Newspaper - Specialty",,,,"01/25/08",,,,,TRUE,"Amsterdam News (01/25/08)"
"2008D",2008,"D","CLINTON","New York Blade","Newspaper - Specialty",,,,"01/25/08",,,,,TRUE,"New York Blade (01/25/08)"
"2008D",2008,"D","OBAMA","New York Observer","Newspaper",,,,"01/23/08",,,,,TRUE,"New York Observer (01/23/08)"
"2008D",2008,"D","OBAMA","New York Post","Newspaper",,,,"01/30/08",,,,,TRUE,"New York Post (01/30/08)"
"2008D",2008,"D","OBAMA","Gay City News","Newspaper - Specialty",,,,"01/31/08",,,,,TRUE,"Gay City News (01/31/08)"
"2008D",2008,"D","OBAMA","Rochester City Newspaper","Newspaper - Alternative",,,,"01/22/08",,,,,TRUE,"Rochester City Newspaper (01/22/08)"
"2008R",2008,"R","McCAIN","New York Post","Newspaper",,,,"02/01/08",,,,,TRUE,"New York Post (02/01/08)"
"2008R",2008,"R","McCAIN","New York Times","Newspaper",,,,"01/25/08",,,,,TRUE,"New York Times (01/25/08)"
"2008R",2008,"R","McCAIN","Newsday","Newspaper",,,,"02/02/08",,,,,TRUE,"Newsday (02/02/08)"
"2008D",2008,"D","OBAMA","Daily O'Collegian","Newspaper - Specialty",,,,"02/04/08","Oklahoma State University",,,,TRUE,"Daily O'Collegian [Oklahoma State University] (02/04/08)"
"2008R",2008,"R","ROMNEY","Daily O'Collegian","Newspaper - Specialty",,,,"02/04/08","Oklahoma State University",,,,TRUE,"Daily O'Collegian [Oklahoma State University] (02/04/08)"
"2008D",2008,"D","CLINTON","Memphis Commercial Appeal","Newspaper",,,,"01/27/08",,,,,TRUE,"Memphis Commercial Appeal (01/27/08)"
"2008D",2008,"D","OBAMA","Knoxville News-Sentinel","Newspaper",,,,"02/03/08",,,,,TRUE,"Knoxville News-Sentinel (02/03/08)"
"2008D",2008,"D","OBAMA","Tri-State Defender","Newspaper - Alternative",,,,"01/24/08",,,,,TRUE,"Tri-State Defender (01/24/08)"
"2008R",2008,"R","McCAIN","Knoxville News-Sentinel","Newspaper",,,,"02/03/08",,,,,TRUE,"Knoxville News-Sentinel (02/03/08)"
"2008R",2008,"R","McCAIN","Memphis Commercial Appeal","Newspaper",,,,"01/27/08",,,,,TRUE,"Memphis Commercial Appeal (01/27/08)"
"2008D",2008,"D","CLINTON","Salt Lake Tribune","Newspaper",,,,"01/27/08",,,,,TRUE,"Salt Lake Tribune (01/27/08)"
"2008R",2008,"R","ROMNEY","Salt Lake Tribune","Newspaper",,,,"01/27/08",,,,,TRUE,"Salt Lake Tribune (01/27/08)"
"2008D",2008,"D","OBAMA","The Daily Nebraskan","Newspaper - Specialty",,,,"02/05/08","University of Nebraska-Lincoln",,,,TRUE,"The Daily Nebraskan [University of Nebraska-Lincoln] (02/05/08)"
"2008R",2008,"R","HUCKABEE","The Daily Nebraskan","Newspaper - Specialty",,,,"02/05/08","University of Nebraska-Lincoln",,,,TRUE,"The Daily Nebraskan [University of Nebraska-Lincoln] (02/05/08)"
"2008D",2008,"D","OBAMA","The Seattle Times","Newspaper",,,,"01/28/08",,,,,TRUE,"The Seattle Times (01/28/08)"
"2008D",2008,"D","OBAMA","Seattle Post-Intelligencer","Newspaper",,,,"02/01/08",,,,,TRUE,"Seattle Post-Intelligencer (02/01/08)"
"2008D",2008,"D","OBAMA","Tacoma News Tribune","Newspaper",,,,"02/03/08",,,,,TRUE,"Tacoma News Tribune (02/03/08)"
"2008R",2008,"R","McCAIN","Seattle Post-Intelligencer","Newspaper",,,,"02/01/08",,,,,TRUE,"Seattle Post-Intelligencer (02/01/08)"
"2008R",2008,"R","McCAIN","Tacoma News Tribune","Newspaper",,,,"02/03/08",,,,,TRUE,"Tacoma News Tribune (02/03/08)"
"2008R",2008,"R","McCAIN",,"Newspaper",,,,,,,,,FALSE,"[UNMATCHED] ??"
"2008R",2008,"R","McCAIN","The Seattle Times","Newspaper",,,,"02/03/08",,,,,TRUE,"The Seattle Times (02/03/08)"
"2008D",2008,"D","OBAMA","Baltimore Sun","Newspaper",,,,"02/10/08",,,,,TRUE,"Baltimore Sun (02/10/08)"
"2008R",2008,"R","McCAIN","Baltimore Sun","Newspaper",,,,"02/10/08",,,,,TRUE,"Baltimore Sun (02/10/08)"
"2008D",2008,"D","OBAMA","The Fredericksburg Free Lance-Star","Newspaper",,,,"02/08/08",,,,,TRUE,"The Fredericksburg Free Lance-Star (02/08/08)"
"2008D",2008,"D","OBAMA","Danville Register & Bee","Newspaper",,,,"02/08/08",,,,,TRUE,"Danville Register & Bee (02/08/08)"
